"","id","cocina","rango_precios","calificacion","numero_calificaciones","direccion","horario","comentarios","ranking"
"437",437,"Vegetariana","Medio",4.5,164,"Carrera 51B No. 120 - 331. Diagonal Univesidad Del Norte, Barranquilla 00057 Colombia"," Cerrado ahora:  Ver todos los horarios","excelente sitiolas mejores pizzas italianas que puedas encontrar en barranquilla sin duda algunael tema artesanal encaja perfectamente con el ambiente del restaurante y el sabor de las lasaas es exquisito y nicola panattalas mejores pizzas artesanales en la panatta excelente atencin sper recomendado se puede ir para compartir con tu familia o parejala panattaexcelente servicio recomendamos la piza lionatencion personalizada deliciosos jugos y para eventos especiales con tu familiacumpleaosexcelente servicio la lasaa de pollo con tocineta y pollo con championes deliciosas en pan la baguette en salsa de ajillo un espectaculo para no perdersesuper recomendadoshola natalia gracias por compartirnos tu opinin nos llena se satisfaccin saber que fu de tu agradomuchas gracias a ti por permitirnosparticipar en el cumpleaos de tu compaera esperamos seguir brindndote nuevas experienciaspara atenderte con el mayor gustocena romantica de amor y amistadrecomendado excelente comida y el servicio llego a tiempoesperar a la reapertura para conocerlomuchas gracias por tu comentario nos alegra saber que nuestra comida es de tu agradoen la panatta nos esmeramos por hacer vivir lindas experiencias a nuestros comensalesexcelenterecomendado para todos los amantes de la buena comida exquisita comida y un excelente servicio 1010 la cena romntica en casa es una gran opcin para ests fechas de amor y amistadesperando pronto la reapertura de todo para visitarlosgracias por compartirnos tu experiencia trabajamos arduamente para que nuestros clientes tengan gratas experiencias pronto tendremos nuestra reapertura en la cual te estaremos esperandoexcelente muy recomendadoexcelente comida y servicio lugar con ambiente mediterrneo con una elegancia nica muy recomendado para citas romnticasmuchas gracias por compartir tu comentario para nosotros es un placer servirte siempre y nos alegra mucho poder satisfacerte te esperamos en una prxima oportunidad en t restaurante la panattacena romntica muy divina la decoracin la cena ni se diga super rico las pastas y el postresfueron los confidentes de mi pareja para una sorpresa maravillosamuchas gracias por dejarnos tu comentario nos alegra saber que todo fue de tu agrado en la panatta nos esmeramos por hacer inolvidable tu experiencia te esperamosterriblela peor pizza todos los ingredientes en spray al enfriarse se puso super dura pues era extremadamente fina y la masa endureci por lo ledo aqu compre com muchas espectativas y fue muy malola mejor pizzaes un excelente sitio para compartir con amigoslas pizzas me hacen recordar mi nies la mejor sin duda","#29 de 503 restaurantes en Barranquilla"
"438",438,"Vegetariana","Medio",4.5,103,"Carrera 56 74 160 Local 3, Barranquilla 080001 Colombia"," Cerrado ahora:  Ver todos los horarios","la mejor atencincomida exquisitaquede maravillada encantada satisfecha y feliz super atencin de un chico fernando magnificas recomendaciones de la carta de los mejores lugares que he asistido ademas el costo beneficio maravilloso ramos 6 personas y un nio y la verdad siento que no fue costoso para nadasigue siendo la mejor cocina de barranquilla colombiahace un tiempo opin que era la mejor cocina de barranquilla hoy despus de probar muchas nuevas experiencias en la misma ciudad sigo con la misma opinion sobre su cocina pero ahora opino acerca de su servicio el cual es el mejor servicio internacionalmente laverdad una experiencia insuperablemspizza ciliengineprob la pizza ciliengine y me fue bien no me mat pero en general se compensa con el resto de platos que he probado en ese restaurantedelicioso como siempre visita obligada en barranquilla no tiene pierdeatendimos clientes extranjeros y nos dieron un reservado en el restaurante se celebraba un cumpleaos y haba msica en vivo que se alcanzaba a escuchar tenuemente lo que le dio un encanto especial a nuestra reunin el servicio estupendo la comida deliciosa fue servida entiempo perfecto nos quedaron debiendo la entrada de carimaola de ame con queso azul porque el ame sucreo est escasomsolio siempre ser mi top 1cada vez que voy me enamoro ms de la carta el servicio es excelente el lugar es supremamente agradable el ambiente divertido y la decoracin perfecta para tomarse fotos la relacin calidadprecios es perfecta no es para nada costoso y probamos una sangria deliciosa lapasta grana padanno alla ruota la recomiendo a ojo cerrado me encanta siempre feliz de volver son los mejoresmsmuy rico todola comida muy rico buen ambiente y buena atencion al cliente las pastas excelente lo que falta para llegar a un 55 es que la sambuca no es original de italia y lo sirven con ms de los 3 granos de caf pero la comiday atencion si 55msvali la penamuy buen restaurante con buenas instalaciones y excelente servicio la carta es amplia y te permite muy buenas opciones en nuestro caso fuimos 4 personas y pedimos varias entradas y platos fuertes para compartir el emplatado y la presentacin de la comida es espectacular elsabor de los platos es muy bueno sin ser excelente es un buen sitio para visitarmsespectaculares platoses un restaurante con un ambiente acogedorlos meseros atentos y servicialestodos los platos que pedimos estaba demasiado deliciosossper recomendadoah y el postre mundialmomentos especialesdesde nuestra llegada a barranquilla este lugar nos a brindado lo mejor en calidad de atencin y servicio y sobre todo nos brinda cario en nuestras visitassiempre estn innovando buscando nuevos platos y muchas veces hemos sido los primeros en probar esos bocadosespecialmencin para la amabilidad y cordialidad del personal y ms destacado a los que han llegado de otros pases y aprovechan la oportunidad de ser serviciales mostrando que si se puedeque sigan los xitos gracias por todomshola muchas gracias por compartir este mensaje nos llena de mucha alegra y motivacin para continuar sirviendo a nuestros comensales siempre sern bienvenidos pues su cario y buena energa nos contagia saludosexecelte noche comida exquisita deli el ambiente la comida deliciosa pedidos mini hamburguesa angus una delicia combinadas con un merlot castillo molina reservado pizza eduard i y luego una morcilla de mar todos en su punto exquisitola msica en vivo ni hablarespectacular y la atencin muybuena recomendadomshola muchas gracias por visitarnos y compartir su experiencia valoramos mucho sus comentarios y nos anima a continuar trabajando xa llevar nuestra propuesta a muchas personas masbienvenidos siempre","#36 de 503 restaurantes en Barranquilla"
"439",439,"Vegetariana","Medio",4,252,"Calle 64b 84 131 Next To The Football Court, Barranquilla 080014 Colombia",NA,"mejor comida italiana de la ciudadla piazzeta es la opcin indicada para cualquier amante de la comida italiana no dudes en probar distintos platos porque todo lo que se consumo ah no baja de delicioso no obstante el aforo es alto y por lo tanto la demora es mucha recomiendosiempre llegar mximo una hora despus del momento de aperturamspasando un ratoamenoeste lugar es de lo maximo que existees un elixir a tu paladar esas cmodas espectacularesuff me fascinan sobre todo lad pastas y los antipastoscon un un buen tinto verano omgno se pueden perder de ese maravilloso lugarquerrs volver prontodeliciosome encanta que delicia todos los platos que pedimos se nota la dedicacin a la hora de preparar la comida pulpo horrible en un precio extremadamente caroordenamos un pulpo al carbn de entrada de horrible sabor 60000 pesos ms caro que un plato en cualquier lugar demasiado horrible un robo psimo sabormuy sobrevalorado mucha plata para el bombo y la recomendacionfui con mi esposa y una amiga recomendado por varias personas al llegar meseros en desorden que noel servicio al clientelo tienen en la zuela del zapato en cualquier da y a cualquier hora este lleno o vaco se dignan a hacerte esperar msde 40 minutos para que te ubiquen te atiendan te tomen el pedido y una vez pedida la comida hasta hora y media en recibirla para poderla comer con el riesgo de que llegue como no la pediste la atencin no es mala es perversa la comida buen sabor pero por el mismo desorden de los meseros con altas probabilidades de llegar fra lo cual termina siendo desagradable y un factor en contra al final hasta para cobrar son lentos la cuenta ms de 3 veces al pedir la cuenta caro partiendo de la porquera de servicio al cliente que tienen y de la frialdad de la comida al recibir adems de no recibir la orden que es demasiado sobrevalorado con el valor de esa cuenta puedes comer en cartagena en un mejor restaurante pagas la comida la gasolina los peajes y te queda plata no se recomienda en ninguna instanciamspsimo te roban en la cara pedimos una entrada de carpaccio de pulpo muy normal y costosados pizzas con masa dura un sabor muy regular y extremadamente cara para lo que es un servicio regular no tiene buen localpsimo llevo 15 minutos esperando ser ubicadoposteriormente ubicado llevo 20 minutos esperando y no ha llegado el meserola comida es buena la atencin es muy regular y deficientecomida deliciosa servicio muy deficiente este es un sitio de comida deliciosa en barranquilladeliciosos sabores italianosmuy recomendado si quieres comer bien pero no esperas un buen servicio ni un sitio hermoso los meseros son lentos y con psima actitudigual lo recomiendo ojal los dueos haganalgomshorrorosovinimos porque nos llamaba la atencin ya que es un restaurante situado enfrente de la catedral y nos pareci interesante el lugar la comida sin msahora bien los camareros son horribles pedimos pizzas con ingredientes adicionales y nos dijo el camarero que no sepoda aadir ningn ingrediente que al cocinero no le gustaba aadir ingredientesnos indignamos y le preguntamos a otro camarero y nos dijo que sque si que se poda el camarero educacin 0 nos trajo antes las pizzas que el agua no sonren no son agradables no nos ha gustado para nada y la comida pues sin ms la verdad no lo recomiendo para nadamsexpectativa vs realidadhoy tuve una experiencia de esas que te dejan sentimientos encontrados no conoca el lugar pero por recomendacin de varios amigos decidimos ir all yo llegu primero y entr al primer piso donde solo hay 2 mesas nadie te atiende as que me sent justoa los minutos llego un mesero y dio la bienvenida le dije que estaba esperando a alguien me pregunta que si deseo subir o quedarme abajo as que decid subir dada la recomendacin una vez arriba te recibe un olor a incienso de sndalo bastante penetrante que est bien para un almacn de ropa pero no para un restaurant igual me sent en la mesa ms alejada del incienso estuve 20 minutos en el lugar esperando a mi prima en los 20 minutos ped 3 veces a 3 meseros diferentes la carta para algo de tomar mientras esperaba nunca nadie atendi a mi solicitud y solo haban 4 mesas en el momento los meseros todos mirandome desde la barra y ninguno se acercaba incluso atendieron a otras mesas que llegaron despus antes que a m luego cuando lleg mi prima y se dignaron a atendernos un mesero se acerc nos trajo la carta por fin trajeron las bebidas empez a tomar el pedido y se fue entonces el dueo o administrador que se yo continu tomando el pedido me toma el pedido a m luego mi prima le pidi una aclaracin sobre algo de la carta y le dice a este seor es que es la primera vez que vengo entonces no s muy bien y el seor viene y le contesta en un tono bastante irnico si yo s duramos el resto de hora tratando de entender si estar all era algo bueno o malo para l y para el resto del servicio del restaurant pues la calidad del servicio al cliente fue bastante deficiente se les olvid la bebida de mi prima toc pedir 2 veces la cuenta en cuanto a la comida a m gusto personal el risotto de quesos que era sobre lo que ms tena expectativas dadas las recomendaciones demasiado fuerte el sabor y un poco sobrecocido el arroz no estaba rico la pasta estaba ok tiempo de espera para la comida estuvo normal aprox 20min las porciones son bastante grandesms","#30 de 503 restaurantes en Barranquilla"
"440",440,"Vegetariana","Bajo",5,57,"Calle 84 55 54 Local 3, Barranquilla 080001 Colombia",NA,"buena opcin arabees un buende comida arabe con varias opciones veganas el kibbe vegano es el mejor que he probadoverdadera comida rabe lo conoc gracias a instagram se vea muy bueno me encant el hummus y sus postres deliciosos definitivamente volveremosexcelente comidalas preparaciones son exquisitas vaya sorpresa se llevarn si piden un shawarma no es para nada similar a lo que se est acostumbrado en las calles de barranquilla es un shawarma bastante de medio oriente vale la pena probarlo el resto de platos son deliciososel tahine exquisito los precios son justos y el ambiente es algo acogedor por lo que el local es pequeo pero est muy bien ambientado vale la pena regresarmscomida bien presentadamuy regularel servicio algunos das la comida se demora demasiadolos parqueaderos estn siempre ocupados porque los restaurantes cercanos ocupan los nicos tres parqueaderos que tienenmuy difcil el accesoverdadera comida palestinaluego de que me explicaron de las diferencias entre la comida comercial y las recetas originales palestinas encontr este lugar los sabores son espectaculares que buena comida y los postres increbles el shawarma mixto o sish kebab es mi favoritoexcelente comida rabe con ambiente acogedor en reiteradas ocasiones he visitado el restaurante turcos me encanta todo de ah la comida es excelente tienen los mejores quibbes que he probado toda la comida se siente fresca tienen un arroz de almendras diferente pero muy rico no se pierdan de probar elmarman que es una delicia los postres con almendras son espectaculares hay un cheesecake con almendras que es una cosa de locosno se pierdan esta gran experienciamsnever look back 1fui para mi despedida de la ciudad y que mejor nombre para un plato en esta ocasin que never look backde este restaurante me llevo los sabores de la comida rabe con un toque fresco y diferenteespectaculardeliciosa comida para disfrutar con amigos buen servicio y el ambiente agradable el sabor y sazn exquisitos sper recomendadode postre pidan la furia de chocolatesazn increbleel sitio la comida el ambiente hasta la vajilla son 10 de 10en barranquilla hay varios sitios para buena comida rabe pero este es definitivamente el mejoren la entrada ped tahine especial y de plato fuerte never look back 2 ambos platos deliciososen su sabor y presentacinmste espere toda mi vidael que busca encuentracomida fresca saludable deliciosa experiencia del cafe sin igual regreso regreso y regreso siempre","#17 de 503 restaurantes en Barranquilla"
"441",441,"Vegetariana","Medio",4,435,"Calle 79 # 51b - 72 Granada Plaza Shopping Center, Barranquilla 080020 Colombia"," Cerrado ahora:  Ver todos los horarios","la mejor pizza de barranquillasin lugar a dudas esta es la mejor pizza que me he comido en barranquilla de lejos ingredientes de calidad y recetas originales al mejor estilo romanode las mejores pizzas al estilo romanorecomendada 100 tanto en barranquilla como en cartagena recomiendo la 4 quesos la de cebolla caramelizada la pizza con rodajas de tomates deliciossima y la pizza con el salamela peor pasta de la ciudadfui con mi mam y ella pidi un penne alfredo con pollo que si tena 10 gramos de pollo era mucho sabia a pura sarna estaba seca y era poquito a un precio de 25 mil pesosme deja mucho que pensar de cunto le quierenganar a cada plato y yo ped un penne bolognesa al horno que supuestamente vena con queso mozzarella que si tenia 5 gramos era mucho en una caserola del tamao de un huevo frito a 28 mil pesos y que saba a pasta hecha en una fonda de barrio psimo producto psima calidad psimo sabor poca cantidadmsla original pizza italiana la clasica pizza italiana muy buena con ingredientes de primera calidad pizzas napolitanas q no es fcil q la encuentres en cualquier lugar si eres amante de esta pizza te recomiendo este sitio al 100 una explosin de sabores exquisitosdivinoel restaurante y su decoracin es una obra de arte y de la comida ni hablar pizzas deliciosas ensaladas y cocteles divinosperfecto para departir con amigas o para celebrarespectacularla mejor pizza que he comido la atencin buenisima de postre recomendadisimo el browni con heladoel restaurante es hermosofuimos al buenavista 2la diva pizzas pero centro comercial viva barranquillatu vas caminando por el centro comercial del cual todos te invitan a probar su menu esta vez la sonrisa amenaabradable del lugar nos llamo la atencion al ver las brazas ardiendo esas leas listas que te dicen esperando una piza una chica muyatenta nos explico bien el menu sus ingredientes el cual pedimos una pizza compartida mitad de salami y de una salchicha su masa fina fina tostadita crocante buen de queso y de salsa solo un poquito dulcerecomendado a los que caminan un rato por el centro comercial viva msla pizza nunca me decepcionasiempre que voy pido pizza nunca me decepciona mi ultima eleccin fue una pizza mitad pulpo mitad pepperoni la verdad es deliciosa otra cosa que recomiendo es la sangria es buensima no califico el restaurante con excelente porque no me fue muy bien con elservicio ya que los meseros no estuvieron muy pendientes y una persona con la que fui que pidi una pasta tuvo que esperar bastante para que se la llevaranmsdelicioso riqusimo todo perfecto el ambiente y la vista del restaurante me gustaron mucho las pastas y la pase espectacularencantador y reconfortantevisit la ciudad de barranquilla por motivo de negocios pero con antojo de comida italiana encontrando un alternativa que conoca de bogota y que con certeza supera las expectativas tanto de entorno servicio y caridad y calidad de los platos ofrecidos","#31 de 503 restaurantes en Barranquilla"
"442",442,"Vegetariana","Medio",4.5,30,"Carrera 66 Number 80-60, Barranquilla 080002 Colombia"," Abierto ahora: 09:00 a. m. - 8:00 p. m.","mas publicidad que calidadya el restaurante no presta mas servicio al cliente nicamente servicio a domicilio y un sucursal en el caiman de rio con un menu estilo camida rapida la comida lo preparan en microondamanejan las mismas tarifas como las tarifas de restaurante hay mejor opciones paracomida de asia en la ciudad para no repetirmsel olor de su comida es espectaculartodo lo que tienen en su restaurante es buensimo la sopa de cangrejo las samosas y el ramen son un hitaniversarioun lugar acogedor agradable ambiente msica muy linda comida deliciosa men variado y tiene excelentes opciones vegetarianasgracias por su mensaje mantenemos la misma calidad de nuestros platosmuy buena comida asiaticame gusta mucho sus lumpias es una cocina asitica muy tradicional tiene excelente sabor y siempre nos han atendido muy biengracias por su visitalo mejorexcelente super recomendadoriquisma la comida buena atencin siempre quedamos satisfechos todo es buenogracias por visitarnos nuestro deseo siempre es complacer los clientesespectacularla mejor comida del sudeste asitico en barranquilla un lugar agradable para comer con tranquilidad y disfrutar al mximo espectacularlucasmuchas gracias por visitarnos sus comentarios nos exige a trabajar mas para ofrecerles un sabor autntico de sureste de asiasiempre es buenodumplings y la sopita levanta muertoombe no hay derecho ojal y comiencen a hacer ramen que en barranquilla nadie hacegracias por sus mensajes y recomendacionesuno va a la fijasiempre que voy a deliasia voy a la fija lo que uno pida es rico las entradas los platos fuertes y hasta la sopa de cangrejo y muy buenos preciosgracias por sus palabras nos da una inspiracin para seguir compartiendo los sabores de sureste de asia xitosno hay comida ni remotamente parecida en barranquillapuedes ir al lugar o pedir a domicilio que la calidad de la comida no varia ni un 1 deliasia es uno de mis restaurantes favoritos la pasta crocante al curry rojo es un sueo y siento que este sitio es el cielo de losvegetarianosmsgracias por darte cuenta nuestra misin porque no solo alimentamos el cuerpo sino el almamuy buena calidad el sabor es muy bueno la mayora de platos tienen un sabor muy original de la comida tpica de los diferentes pases de asia vale mucho la pena ir a este lugargracias por tus comentarios nuestros sabores son de sureste de asia venir a deliasia puedes recordar los viajes maravillosos en esa parte de asia","#61 de 503 restaurantes en Barranquilla"
"443",443,"Vegetariana","Medio",4,128,"Calle 98 # 52 – 115 Centro Comercial Buenavista II Piso 4, Barranquilla 080020 Colombia"," Abierto ahora: 12:00 a. m. - 9:00 p. m.","opcin orientales un restaurante con un men oriental limitado enfocado en teriyaki y sushi comida japonesa con platos medio costoso eso s todo muy rico buen servicio y gran espacio hay barra de comida espectculo para la preparacin del teriyaki una buena opcin para empezar aprobar comida japonesa pero hace falta ms comida coreana china tahi y vietnamita una buena salida en familia o una reunin de negociosmsespectacularteriyaki ha sido y sera una de las mejores lineas del suchi para los que amamos el suchi es simplemente sensacional hemos probado casi todos los platos nos encantamuchas gracias por tu calificacin y comentario teriyakifan te esperamos pronto nuevamente para que vuelvas a vivir la experiencia teriyakioriental con la gama completaes un buen restaurante bien localizado y cmodo para parquear en barranquilla buen ambiente buena oferta de cocktails y atencin uno va a la fija en calidadmuchas gracias por tu calificacin y comentario teriyakifan te esperamos pronto nuevamente para que vuelvas a vivir la experiencia teriyakime encantan toda la carta variedad de opciones y comida saludable me encanta los spring rolls las sopas los sushis siempre volvemosmuchas gracias por tu calificacin y comentario teriyakifan te esperamos pronto nuevamente para que vuelvas a vivir la experiencia teriyakibuen servicio muy buen ambiente personal atento y amable deliciosas las giozas al vapor recomendadas el happy hour recomendado tambin los cctelesmuchas gracias por tu calificacin y comentario teriyakifan te esperamos pronto nuevamente para que vuelvas a vivir la experiencia teriyakialmuerzola mejor sazn de comida fusin en barranquilla prob el beef teriyaki y estuvo excelente todo los vegetales inmejorables el arroz y la carne con el mejor sabor de la ciudadmuchas gracias por tu calificacin y comentario te esperamos pronto nuevamente para que sigas viviendo la experiencia teriyakicomida saludable excelente saborcomida saludable excelente sabor de mis restaurantes preferidos recomendados los spring roll de entrada la sopa de mariscos tom yun lo y el preferido de mi esposo el teppanyaki mar y tierra el pescado en salsa de tamarindo excelente siempre regresamosmuchas gracias por tu calificacin y comentario te esperamos pronto nuevamente para que sigas viviendo la experiencia teriyakibien por el servicio y el saborvariedad de platos higiene preparacin atractiva y presentacin agradable volver por un fish tamarindomuchas gracias por tu calificacin y comentario teriyakifan te esperamos pronto nuevamente para que vuelvas a vivir la experiencia teriyakimal servicio al clienteimposible dar la sorpresa de cumple a una compaera porque antes de cantar teniamos que entregar su cedula hola debamos verificar si estaba cumpliendo aos pedimos disculpas si este fue un inconvenienteexcelente comidafuimos a almorzar unas 6 parejas y todos los platos que escojimos estuvieron excelentes recomendado restaurantemuchas gracias por tu calificacin y comentario teriyakifan te esperamos pronto nuevamente para que vuelvas a vivir la experiencia teriyaki","#39 de 503 restaurantes en Barranquilla"
"444",444,"Vegetariana","Medio",4.5,95,"Calle 92 51C-30, Barranquilla 080020 Colombia"," Cerrado ahora:  Ver todos los horarios","la hamburguesa perfectaliteralmente las mejores hamburguesas de barranquilla excelente lugar para visitar la atencion es maravillosa maneja precios que van acorde al producto que ofrecen es la tercera vez que voy y nunca me decepciona 100 recomendadola mejor hamburguesa lo mejorla carne es de jugosalas cebollas caramelizadaslo maximolas papitas unicassuper todo recomendadodeliciosa hamburguesa vegetarianala hamburguesa vegetariana es exquisita de las mejores que he probado en barranquilla super recomendadamil veces volvervisit este sitio por recomendacion de una amiga me contaba que este restaurante era 100 artesanal y asi fue quedamos sorprendidos el pan las salsas la tocineta y hasta las salchichas las hacen en el mismo restaurante volvere cada vez que visite la ciudadvisita segura a baq burguer hausecmo es de costumbre en mi familia cada vez que visitamos la ciudad de barranquilla no perdemos la oportunidad de degustar las mejores hamburguesas artesanales de baq burguer hause destacndose en su excelente atencin msica acord al ambiente todos sus productos de calidad y lomejor de todo precios super cmodos 100 recomendable mi hamburguesa favorita villa katanga con su insuperable guacamole picanticomsdeliciosa cenasi disfrutas la comida de mar como sea te recomiendo esta hamburguesa de pescado llamada las flores1010 excelente servicio de la mesera con lentes recuerda todo sin anotar nada increble ira una y otra vezvisitaespectacularrrrr me fascin completamente la atencin y la comida muy jugosa y deliciosa el guacamole es de locos y la carne ni se diga 10001000recomendablesevero tropipop y greca gomelita son mis eternas y siempre acertadas elecciones en este lugar nunca decepcionan muy rico el pan y muy equilibrados los sabores estas hamburguesas estn entre mis favoritas y si no voy ms seguido es porque la atencin es un pocodemorada debido a la cantidad de personas que siempre encuentro esperando para entrarmsla mejor hamburguesa para mi es la mejor hamburguesa de la ciudad mi preferida es la mucha clsica la cual recomiendo a todo el pblico los ingredientes son frescos tanto las verduras como el pan este ltimo tiene la consistencia necesaria para no desmoronarse con las salsas tienegaseosa ilimitada para los combos las papas fritas son artesanales y deliciosas te brindan guantes plsticos para comer con mayor comodidad el ambiente es agradable y la atencin es excelentemsmuy buenoexcelente la comida hacia mucho no me coma una hamburguesa tan deliciosa la calidad del servicio de lo mejor un bueno lugar para disfrutar de una rica comida muchas gracias","#22 de 503 restaurantes en Barranquilla"
"445",445,"Vegetariana","Medio",4.5,52,"Carrera 46 84 - 106, Barranquilla 080020 Colombia",NA,"compartir con amigosbuen restaurante servicios excelente ambiente familiar y la comida estuvo buena con algunos detalle comentados al chefuna muy rica experienciacelebre el babyshower de mi hija en este lugar la comida deliciosa y una excelente atencin nunca habia comido ac llegu aca por tripsdvisor y la verdad es que superaron mis expectativas nos ubicaron en la terraza solo para nosotros y nos atendieron muy bientienen mens con diversos precios que se pueden acomodar a tus necesidades volver muchas veces masmsen el restaurante habibisgrill encontramos tranquilidaduna variedad de exquisitos platos ideales para compartir con familiares y amigos donde se cuida la proporcin exacta de las especiessabores y texturasevocando los sabores del medio oriente y poderlos disfrutas en la zona norte de barranquillate invito aque degustes sus exquisitos platosmsexcelente saln para reunionestenia una reunion de negocios el dia 08 de noviembre y escogi hacerla en habibis grill fue la mejor decsion que pude tomar ya que poseen un salon vip cerrado la comida estuvo bastante buena casi todos pedimos robalo o salmon que vienen acompaados deun pure gratinado espectacular los jugos son naturales muy ricos y el servicio a la altura volver con seguridadmscumpleaoscelebramos un cumpleaos y la atencin es excelente desde que reservamos hasta el momento de comer el paquete que escogimos estaba delicioso ni se diga de el cctel de bienvenida y los precios de los paquetes son accesiblestiene reas super amplias para todotipo de ocasin el parqueadero esexclusivo para los clientesinternoseguro y amplio msinvitacin a una amigala mejor comida arabe en barranquillala atencin genialfue rpidael ambiente muy agradablelas instalaciones bonitastiene un parqueadero exclusivo para sus clientesrecomendado porciones muy buenas y el sabor exquisitoun restaurante en una muy buena ubicacin con un sabor exquisito mucha variedad de comida y muy ricacelebracion del grado de una amigahacer una atencin en habibis es quedar bienporque la persona invitada se siente muy bien atendida y el sabor de la comida aparte de ser delicioso es diferente y eso marca el que tu quedes muy bien ante tus invitadosrecomendado buena comidaes un lugar con comida deliciosa con diferentes sabores desde la especialidad arabe hasta la deliciosa parrillaun lugar para deleitar el paladar rodeado de diferentes ambientes y poder brindar con la familia con unos deliciosos cctelesrecomendadoes un sitio para disfrutar en familiala comida deliciosa fresca con un sabor exquisitobuena atencin con precios accesiblerecomendado","#34 de 503 restaurantes en Barranquilla"
"446",446,"Vegetariana","Medio",4,165,"Cr 54 No. 75 - 44, Barranquilla 00000 Colombia",NA,"quieres comer comida china buena jardines de confuciosoy fiel a los recuerdos este restaurante de comida china donde mis hijos pequeos disfrutaron gratos momentos su carta lo mejor de barranquilla y adems no como comida china sino en mi ciudad amigo de su propietario hoy en manos de su hijo con unaimpresionante mejora continua en todo felicitaciones familia wongmspara nada recomendadoun servicio muy malo llegamos un grupo grande y no queran atendernos con varios meseros mi plato ha sido malomaloexcelente muy buen sazn el arroz deliciosoal igual que en chop suey y la carne agridulcemuy buen servicio y el ambiente muy agradableha perdido exquisitezvolv despus de varios aos y cranme que no me gust el arroz se senta recalentado pocas verdurassi acaso una que otra raz chinaa atencin si es buena el personal amable los precios justosportero calvo discriminatorio sabor de arroz chino promedioportero discriminatorio se trata de un seor calvo de la tercera edad que lleva aos siendo portero del sitio cuando voy caminando hacia la entrada de repente me detiene hacindome un llamado en voz alta desde el parqueadero donde se encontraba para preguntarme de unamanera muy informal para dnde iba me pareci extrao pero yo le contest tranquilamente que iba a comprar arroz chino es un restaurante un lugar pblico era obvio que iba a consumir o a comprar comida no reaccion ni puse la queja en el momento pues no tena nimo slo quera comprar arroz chino en cuanto a la atencin adentro inmejorable personal muy decente y servicialen cuanto a la comida esperaba un sabor como el del arroz que prob hace aos de este mismo restaurante era un sabor ms distintivo ms sustancioso no el sabor de un restaurante chino promedio como me pareci estemsdespedida fin de aoexcelente restaurante de comida china sirven buenas porciones comida rica y an buen precio felicitaciones adems bien ubicados lo nico malo es el parqueadero es muy pequeo del resto muy biencomida regular buena atencin precios muy altoslos visit en septiembre con mi pareja ya que tenamos tiempo de no ir a barranquilla por cuestiones laborales no es nada parecido a lo que fue el sitio 10 aos atrs la cocina ha disminuido mucho su calidaddecepcionado recuerdo que ir a jardines de confucio era todo un evento la comida excepcional considerado el mejor restaurante de comida china de colombia el ambiente prcticamente es el mismo que siempre he recordado pero el sabor de los platos ni siquiera cercano a lo quele otorg su rimbombante fama la verdad me da pesar que un icono de al ciudad decaiga de esa maneramsmuy malofuimos un grupo de diez personas el precio es alto en relacion a la calidad del servicio y comida que ofrecenjardines me has decepcionadodespus de muchos aos siendo cliente de este restaurante van dos veces que al pedir el arroz frito especial encuentro que no cumple con mis expectativas no se si han cambiado al chef los das que he ido o pedido el arroz igual su ambientesiempre me trae bonitos recuerdosms","#40 de 503 restaurantes en Barranquilla"
"447",447,"Vegetariana","Alto",4.5,330,"Carrera 52 76 - 188, Barranquilla 080020 Colombia"," Cerrado ahora:  Ver todos los horarios","la comida debe mejorar muchsimola comida no es buena hay muchas mejores formas de explotar lo rico de la gastronoma caribe el sitio muy bien ubicado pero la comida no es buena no volveramala comida buen lugarfui sobre las 12 del medio da en compaa de dos amigos eramos los primeros clientes en ingresar ese da ordenamos 3 platos diferentes arroz apastelado de costilla de cerdo costillas bbq y un lomo de res asado en rodajas iniciar por el arroz decerdo que orden mala textura muy mal sabor un acompaamiento que no le favoreca recomiendo no pedirlo jams ahora bien prob las costillas y estaban mucho mejor pero muy empalagosas y el lomo no tuvo nada de especial pese a la fama del sitio no volveramsde los mejores ambientesun restaurante con muy pero muy buena comida y un ambiente acogedor y festivo los cortes de res son muy frescos y con el sabor perfectosuperincreble la entrada no que decir del plato fuerte recomendado lo nico malo no venden corona de resto exelentecocina tradicional colombiana elevada a un alto nivel gastronomicoque bueno tener en barranquilla este lugar tan espectacular es comida tradicional pero servida y preparada a otro nivel no pierdan la oportunidad de ir y descubrir nuestra comida del caribe en manos de este chefme encant el lugar la comidame encant el lugar la comida y las atenciones el ambiente es muy bueno lo nico no recomendable para personas en sillas de rueda pero es lo nicocreatividad en saboresbueno muy bueno platos colombianos con fusiones deliciosas el lomo con queso azul parami es lo mejor cada vez que voy lo pedimostambin recomiendo una paella costea tambin muy buena y cretivaalmuerzo exquisitoes un restaurante elegante y exclusivo atencin esmerada y rpida las papas con tinta de calamar para la entrada estuvieron formidables com un rissoto con rbalo y camarones de calidad mundial excelentes vinossaborme parece un lugar que de sabor est muy bien sin embargo el precio es muy exagerado hay mejores lugares que tienen el mismo sabor no es inigualablecena estuve en este restaurante y me encantofui recomendado y le agradezco mucho a la persona q me recomendmuy bonita experiencialos platos deliciosos van muy acorde con el precio bien decorados y la atencin excelente sitio para volver","#8 de 503 restaurantes en Barranquilla"
