"","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles"
"5025","4895793 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Fabricación de productos de metal","Entre 1 y 5 años","(39,48]"
"5026","4895793 - 1","Region Central 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Actividades culturales y deportivas","Menos de 1 año","(39,48]"
"5027","4895793 - 1","Region Central 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5028","4895793 - 1","Region Central 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(39,48]"
"5029","4895793 - 1","Region Central 1","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]"
"5030","4895793 - 1","Region Central 1","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Menos de 1 año","(48,130]"
"5031","4895805 - 2","Region Central 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(39,48]"
"5032","4895806 - 1","Region Central 1","Masculino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5033","4895806 - 1","Region Central 1","Femenino","(18,26]","Otros parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"5034","4895806 - 1","Region Central 1","Masculino","(18,26]","Otros parientes","Soltero","Superior o universitaria","Si","Fabricación de productos de metal","Menos de 1 año","(48,130]"
"5035","4895823 - 1","Region Central 1","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5036","4895848 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]"
"5037","4895848 - 1","Region Central 1","Masculino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Construcción","Menos de 1 año","(39,48]"
"5038","4895848 - 1","Region Central 1","Masculino","(26,59]","Otros No parientes","Soltero","Básica secundaria","No","Suministro de electricidad, gas y vapor","Menos de 1 año","(48,130]"
"5039","4895853 - 2","Region Central 1","Masculino","(59,100]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"5040","4895876 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de muebles / industrias manufactureras","Entre 1 y 5 años","(48,130]"
"5041","4895876 - 1","Region Central 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"5042","4895876 - 1","Region Central 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Fabricación de muebles / industrias manufactureras","Menos de 1 año","(48,130]"
"5043","4895876 - 1","Region Central 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Construcción","Menos de 1 año","(48,130]"
"5044","4896161 - 2","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5045","4896161 - 3","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"5046","4896171 - 1","Region Norte 2","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]"
"5047","4896173 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5048","4896174 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5049","4896174 - 1","Region Norte 2","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5050","4896174 - 1","Region Norte 2","Masculino","(14,18]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5051","4896328 - 1","Region Cafetera 2","Femenino","(26,59]","Nucleo familiar","Soltero","Media (10o -13o)","No","Otras actividades de servicios","Menos de 1 año","(48,130]"
"5052","4896328 - 1","Region Cafetera 2","Femenino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5053","4896329 - 1","Region Cafetera 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5054","4896329 - 1","Region Cafetera 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de prendas de vestir","Menos de 1 año","(48,130]"
"5055","4896366 - 1","Region Cafetera 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"5056","4896366 - 1","Region Cafetera 2","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5057","4896366 - 1","Region Cafetera 2","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Actividades complementarias/auxiliares al transporte","Menos de 1 año","(39,48]"
"5058","4896366 - 1","Region Cafetera 2","Femenino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5059","4896519 - 1","Region cafetera 1","Masculino","(26,59]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"5060","4896550 - 1","Region cafetera 1","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(39,48]"
"5061","4896566 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5062","4896573 - 1","Region Norte 3","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Mas de 5 años","(48,130]"
"5063","4896576 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(48,130]"
"5064","4896576 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","No","Hogares privados con servicio doméstico","Menos de 1 año","(48,130]"
"5065","4896583 - 1","Region Norte 3","Masculino","(59,100]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"5066","4896583 - 1","Region Norte 3","Masculino","(26,59]","Otros parientes","Soltero","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"5067","4896583 - 1","Region Norte 3","Masculino","(18,26]","Otros parientes","Soltero","Básica primaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(39,48]"
"5068","4896596 - 1","Region Norte 3","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","No","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]"
"5069","4896604 - 1","Region Norte 3","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5070","4896617 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Separado y/o viudo","Básica secundaria","No","Otras actividades de servicios","Entre 1 y 5 años","(39,48]"
"5071","4896626 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Fabricación de muebles / industrias manufactureras","Entre 1 y 5 años","(39,48]"
"5072","4896628 - 1","Region Norte 3","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5073","4896628 - 1","Region Norte 3","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5074","4896633 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]"
"5075","4896815 - 1","Region Central 2","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Actividades culturales y deportivas","Entre 1 y 5 años","(39,48]"
"5076","4897033 - 1","Region Central 1","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de productos de metal","Menos de 1 año","(48,130]"
"5077","4897036 - 1","Region Central 1","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Básica secundaria","Si","Fabricación de productos de metal","Entre 1 y 5 años","(48,130]"
"5078","4897036 - 1","Region Central 1","Femenino","(18,26]","Otros No parientes","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5079","4897418 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"5080","4897418 - 1","Region cafetera 1","Femenino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"5081","4897418 - 1","Region cafetera 1","Masculino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]"
"5082","4897418 - 1","Region cafetera 1","Masculino","(26,59]","Otros No parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"5083","4897444 - 1","Region Norte 1","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]"
"5084","4897491 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(0,39]"
"5085","4897492 - 1","Region Norte 2","Masculino","(59,100]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(0,39]"
"5086","4897532 - 1","Region Central 2","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"5087","4897532 - 1","Region Central 2","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(39,48]"
"5088","4897544 - 1","Region Cafetera 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Servicios sociales y de salud","Mas de 5 años","(39,48]"
"5089","4897690 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5090","4897707 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Otras actividades de servicios","Menos de 1 año","(48,130]"
"5091","4897707 - 1","Region Norte 3","Masculino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5092","4897781 - 1","Region Cluster 4","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(0,39]"
"5093","4897913 - 1","Region Suroccidente","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]"
"5094","4897913 - 1","Region Suroccidente","Femenino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Correo y telecomunicaciones","Entre 1 y 5 años","(39,48]"
"5095","4897932 - 1","Region Nororiente","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(48,130]"
"5096","4897932 - 1","Region Nororiente","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]"
"5097","4897946 - 2","Region Cafetera 2","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5098","4898009 - 1","Region Cafetera 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5099","4898009 - 1","Region Cafetera 2","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Elaboración de productos alimenticios","Menos de 1 año","(39,48]"
"5100","4898009 - 1","Region Cafetera 2","Masculino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5101","4898009 - 1","Region Cafetera 2","Femenino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Elaboración de productos alimenticios","Menos de 1 año","(39,48]"
"5102","4898009 - 1","Region Cafetera 2","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5103","4898019 - 1","Region Cafetera 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de productos de metal","Entre 1 y 5 años","(39,48]"
"5104","4898019 - 1","Region Cafetera 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(39,48]"
"5105","4898045 - 1","Region Cafetera 2","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"5106","4898079 - 1","Region cafetera 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5107","4898194 - 1","Region Central 2","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5108","4898237 - 1","Region Central 1","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(48,130]"
"5109","4898522 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Actividades culturales y deportivas","Entre 1 y 5 años","(39,48]"
"5110","4898543 - 1","Region Cluster 4","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"5111","4898543 - 1","Region Cluster 4","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"5112","4898547 - 1","Region Cluster 4","Masculino","(26,59]","Nucleo familiar","Soltero","Básica primaria","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]"
"5113","4898547 - 1","Region Cluster 4","Masculino","(26,59]","Nucleo familiar","Soltero","Básica secundaria","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]"
"5114","4898557 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]"
"5115","4898577 - 1","Region Cluster 4","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Correo y telecomunicaciones","Mas de 5 años","(39,48]"
"5116","4898580 - 1","Region Cluster 4","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","No","Fabricación de prendas de vestir","Entre 1 y 5 años","(39,48]"
"5117","4898582 - 1","Region Cluster 4","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5118","4898582 - 1","Region Cluster 4","Femenino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]"
"5119","4898596 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5120","4898596 - 1","Region Cluster 4","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Comercio al por mayor y al por menor","Mas de 5 años","(48,130]"
"5121","4898596 - 1","Region Cluster 4","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5122","4898596 - 1","Region Cluster 4","Masculino","(26,59]","Otros No parientes","Separado y/o viudo","Ninguno/No_sabe","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5123","4898608 - 1","Region Cluster 4","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Ninguno/No_sabe","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"5124","4898650 - 1","Region Cluster 4","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"5125","4898650 - 1","Region Cluster 4","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"5126","4898829 - 1","Region Central 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(39,48]"
"5127","4898856 - 1","Region Central 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5128","4898856 - 1","Region Central 2","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(39,48]"
"5129","4898856 - 1","Region Central 2","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]"
"5130","4898868 - 1","Region Central 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"5131","4899121 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(48,130]"
"5132","4899139 - 1","Region Nororiente","Femenino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Otras actividades empresariales","Entre 1 y 5 años","(0,39]"
"5133","4899319 - 1","Region Central 1","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(39,48]"
"5134","4899319 - 1","Region Central 1","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Educación","Entre 1 y 5 años","(39,48]"
"5135","4899376 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5136","4899408 - 2","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"5137","4899426 - 1","Region Central 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"5138","4899426 - 1","Region Central 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"5139","4899521 - 1","Region Norte 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5140","4899521 - 1","Region Norte 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Fabricación de prendas de vestir","Entre 1 y 5 años","(0,39]"
"5141","4899521 - 1","Region Norte 1","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]"
"5142","4899521 - 1","Region Norte 1","Femenino","(18,26]","Otros parientes","Casado y/o union libre","Básica secundaria","No","Servicios sociales y de salud","Menos de 1 año","(0,39]"
"5143","4899521 - 1","Region Norte 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Servicios sociales y de salud","Menos de 1 año","(0,39]"
"5144","4899521 - 1","Region Norte 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5145","4899533 - 1","Region Norte 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5146","4899598 - 1","Region Norte 1","Femenino","(18,26]","Otros parientes","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Mas de 5 años","(39,48]"
"5147","4899634 - 1","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"5148","4899634 - 1","Region cafetera 1","Masculino","(26,59]","Otros parientes","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5149","4899667 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Soltero","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]"
"5150","4899667 - 1","Region cafetera 1","Masculino","(18,26]","Otros No parientes","Separado y/o viudo","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5151","4899667 - 1","Region cafetera 1","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"5152","4899667 - 1","Region cafetera 1","Masculino","(14,18]","Otros No parientes","Soltero","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5153","4899701 - 1","Region cafetera 1","Masculino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Actividades culturales y deportivas","Entre 1 y 5 años","(0,39]"
"5154","4899703 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5155","4899704 - 1","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5156","4899704 - 1","Region cafetera 1","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"5157","4899704 - 1","Region cafetera 1","Masculino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"5158","4899716 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5159","4899716 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5160","4899716 - 2","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5161","4899716 - 2","Region cafetera 1","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5162","4899716 - 2","Region cafetera 1","Femenino","(18,26]","Nucleo familiar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5163","4899881 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"5164","4899881 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"5165","4899881 - 1","Region cafetera 1","Femenino","(26,59]","Otros No parientes","Soltero","Básica secundaria","Si","Fabricación de prendas de vestir","Menos de 1 año","(48,130]"
"5166","4899881 - 1","Region cafetera 1","Femenino","(14,18]","Otros No parientes","Soltero","Básica secundaria","Si","Fabricación de prendas de vestir","Menos de 1 año","(39,48]"
"5167","4899909 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Actividades inmobiliarias","Entre 1 y 5 años","(48,130]"
"5168","4899941 - 1","Region cafetera 1","Femenino","(59,100]","Nucleo familiar","Separado y/o viudo","Básica primaria","No","Otras actividades empresariales","Menos de 1 año","(0,39]"
"5169","4899948 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"5170","4899948 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"5171","4899948 - 1","Region cafetera 1","Femenino","(26,59]","Otros parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(0,39]"
"5172","4899948 - 1","Region cafetera 1","Femenino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(39,48]"
"5173","4899948 - 1","Region cafetera 1","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"5174","4899969 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
